iPhone XS	256GB	Space Gray	Martin Z.	1	this is not an iphone!	2018-12-06	de	please do not buy this is not an iphone!	0
iPhone 7	128GB	Black	Mick	2	Zero	2018-11-25	fr	Too expensive for the price of the phone offers a better life for much less expensive I would never buy apple again	0
iPhone 6S Plus	32GB	Argent 	M.M.	1	It is not an Apple product	2017-01-13	it	As you can see from what is written in this same product page, the manufacturer of the object is "" Novae Plus "" and not "" Apple ""! beware of imitations!	0
iPhone X	256GB	Argent	Client d'Amazon	1	ATTENTION	2018-07-18	fr	Iphone returned under scello, no refund for 34 days. Thief, legal proceedings planned	0
iPhone 7	32GB	Black	Client d'Amazon	1	Overheated	2018-07-29	fr	Everyday as a phone	0
iPhone XS Max	64GB	Space Gray	Client d'Amazon	5	iPhone XS Max 64	2018-12-02	fr	Original iPhone XS Max serious seller	0
iPhone X	64GB	Space Grey	Nutter	3	Disappointed	2018-01-20	uk	The previous Griffin cases I had were a rubber type thing this is hard plastic. I can look past that. Fitting has some benefits over previous models where dog hairs seemed to manage to get under the screen cover. ButAnd this is a massive butThe buttons need so much pressure to push them. The off button takes both hands and I’m far from weak.The cover for the charge port is very hard to get open and even harder to close.I’m sure it adds to the water resistance but it’s majorly impacting usage.I’d return it but I don’t know who else’s to buy	0
iPhone 7 Plus	128GB	Black	Margarita	1	iPhone 7 Plus. It didn’t mention anything about reconditioned in the advert.	2019-05-23	uk	I thought I was buying a new iPhone 7 Plus for the money paid. I didn’t receive a plug and charging cable or headphones although there were gaps in the box for them. The box itself was stuck with sellotape. Very disappointed indeed.	0
iPhone 7	128GB	Argent 	Ernest Grewe	1	In weak mobile network reception unusable!	2016-12-26	de	My wife has been using an iPhone 3GS so far and was very happy with it. After a few days of falling, the disc splintered, I thought it was time to treat her to a new smartphone. After a short discussion about the requirement profile, we decided on the iPhone 7, because according to various tests and user opinions it should have a better reception than the 5 or 6. (We can judge the comparatively bad reception performance of these devices quite well, since I have only the 5 and now use the 6) The delivery was Amazon-typical fast and easy, the look and feel of the new iPhone is perfect, the installation - as Apple usual - unproblematic and schnell.Aber then unfortunately the disillusionment came. We live on the Land and have gotten used to having a less than optimal network reception (whether D1, D2 ...). With the 3GS, my wife was able to make calls anywhere in the house and on the property without problems, with the new 7 Series this was no longer possible. Either looking for a position on the window, then there not move as possible or renounce on the phone ... both are not really useful alternative, if you have to use the phone for work almost continuously. Since my wife is also traveling a lot in rural areas, so anyway often has to struggle with weak network coverage, the iPhone 7 is unfortunately unusable for their purpose of use. What good is the ease of setup, the trouble-free networking with Outlook, the appointment coordination in the company or other gimmicks, if the rudimentary basic functions are not usable? For me it is incomprehensible that Apple does not manage it over device generations to get back an acceptable reception performance. Other manufacturers have the issue under control better and it just annoying when everyone around one can easily make phone calls or send messages and you sit with his noble phone on the dry ... Since phone in my opinion, still the essential function of a basic Is mobile phones, I can not award more than a star despite all the other positive features of this device, especially since Apple apparently this problem does not take seriously for years seriously! The iPhone 7 goes back to Amazon and the old 3 Series is repaired.	0
iPhone XS Max	256GB	Argent	Da cunha	1	scam	2018-12-31	fr	IPhone block by an administrator, Apple Store does not handle this problem	0
iPhone 7	32GB	Black	Lina B.	1	Scam!!!	2018-08-16	de	I got my supposedly new iPhone 7 today, but it's not new. Checking the battery capacity of the "new" mobile phone, one sees that only 91% of the original battery work. I hope that with me Kontalt is taken and I get my money refunded !!! Tracing the serial number via Apple.com has shown that the phone has no longer a grant more than one year old and comes from abroad !!!	0
