	iPhone 6S	iPhone 6S Plus	iPhone 7	iPhone 7 Plus	iPhone 8	iPhone 8 Plus	iPhone X	iPhone XS	iPhone XS Max	iPhone XR
amazon	-3.0534113851406692	-3.7612001156935624	-2.487041122316633	-2.6100697927420065	-1.9508241638577424	-2.70805020110221	-3.429368258628852	-2.967561396587295	-3.0325462466767075	-2.5552874465498
battery	-1.2721232157799094	-3.7612001156935624	-2.5952547069568657	-2.715430308399833	-3.2386784521643803	-2.70805020110221	-2.5420650636279487	-1.730798769438368	-3.7256934272366524	-2.1498223384416355
charge	-3.34109345759245	-3.7612001156935624	-3.5115454388310208	-4.912654885736052	-3.708682081410116	-3.4011973816621555	-4.68213122712422	-5.1647859739235145	-4.418840607796598	-3.9415818076696905
charger	-5.1328529268205045	-3.7612001156935624	-3.6656961186582793	-3.120895416507997	-4.219507705176107	-4.499809670330265	-4.68213122712422	-4.471638793363569	-3.3202283191284883	-4.634728988229636
charging	-3.746558565700614	-3.7612001156935624	-3.5856534109847424	-4.219507705176107	-5.318119993844216	-4.499809670330265	-4.68213122712422	-4.0661736852554045	-3.7256934272366524	-3.9415818076696905
day	-3.746558565700614	-3.7612001156935624	-3.752707495647909	-3.8140425970679424	-3.372209844788903	-4.499809670330265	-3.58351893845611	-3.2188758248682006	-3.7256934272366524	-3.9415818076696905
days	-3.628775530044231	-2.662587827025453	-3.2602310105501147	-3.120895416507997	-3.9318256327243257	-2.890371757896165	-2.667228206581955	-2.967561396587295	-4.418840607796598	-3.9415818076696905
disappointed	-4.034240638152395	-3.068052935133617	-3.752707495647909	-3.8140425970679424	-2.920224721045846	-2.890371757896165	-3.429368258628852	-2.967561396587295	-3.7256934272366524	-2.5552874465498
happy	-4.727387818712341	-3.068052935133617	-4.541164856012179	-4.219507705176107	-4.219507705176107	-3.8066624897703196	-3.765840495250065	-4.471638793363569	-4.418840607796598	-4.634728988229636
mobile	-3.34109345759245	-3.7612001156935624	-2.7833069384598055	-2.715430308399833	-3.2386784521643803	-3.8066624897703196	-3.58351893845611	-5.1647859739235145	-3.0325462466767075	-3.0252910757955354
month	-4.21656219494635	-3.7612001156935624	-3.95337819111006	-3.3032169733019514	-3.9318256327243257	-4.499809670330265	-5.375278407684165	-5.1647859739235145	-3.7256934272366524	-3.9415818076696905
nice	-4.21656219494635	-3.068052935133617	-4.204692619390966	-4.912654885736052	-3.9318256327243257	-3.4011973816621555	-4.276666119016055	-4.0661736852554045	-3.3202283191284883	-4.634728988229636
people	-3.746558565700614	-3.7612001156935624	-3.442552567344069	-4.912654885736052	-3.708682081410116	-4.499809670330265	-2.810329050222628	-4.471638793363569	-2.2216160304603787	-4.634728988229636
price	-2.7814776696570274	-2.374905754573672	-3.0595603150879636	-3.5263605246161616	-2.920224721045846	-3.4011973816621555	-2.0079825776976907	-2.7668907011251433	-1.853891250335061	-2.5552874465498
product	-2.830267833826459	-3.068052935133617	-2.5670838299901693	-2.966744736680739	-2.2270775404859005	-2.890371757896165	-2.5420650636279487	-2.5998366164619773	-3.7256934272366524	-2.6888188391743224
purchase	-3.746558565700614	-3.7612001156935624	-3.95337819111006	-2.966744736680739	-5.318119993844216	-3.4011973816621555	-3.9889840465642745	-4.471638793363569	-3.0325462466767075	-4.634728988229636
repair	-3.628775530044231	-3.7612001156935624	-4.358843299218225	-3.8140425970679424	-3.708682081410116	-3.8066624897703196	-4.276666119016055	-4.0661736852554045	-4.418840607796598	-3.536116699561526
screen	-2.6479462770325046	-2.662587827025453	-2.8925062304247975	-2.5147596129376812	-2.6100697927420065	-2.890371757896165	-2.117181869662683	-2.967561396587295	-3.7256934272366524	-2.4375044108934163
send	-3.34109345759245	-3.7612001156935624	-4.071161226766444	-3.5263605246161616	-3.5263605246161616	-3.8066624897703196	-3.58351893845611	-3.7784916128036232	-3.7256934272366524	-3.9415818076696905
sim	-4.034240638152395	-2.662587827025453	-3.2602310105501147	-2.4277482359480516	-3.2386784521643803	-3.8066624897703196	-4.68213122712422	-3.0853444322436783	-3.0325462466767075	-2.4375044108934163
sound	-4.727387818712341	-3.7612001156935624	-3.5856534109847424	-3.8140425970679424	-3.9318256327243257	-3.4011973816621555	-3.9889840465642745	-4.0661736852554045	-3.7256934272366524	-4.634728988229636
system	-4.727387818712341	-3.7612001156935624	-4.071161226766444	-4.912654885736052	-3.372209844788903	-2.70805020110221	-4.276666119016055	-3.0853444322436783	-4.418840607796598	-4.634728988229636
time	-2.992786763324234	-3.7612001156935624	-2.4370307017419717	-2.966744736680739	-2.6100697927420065	-2.1972245773362196	-2.9773831348857946	-2.6798793241355137	-3.7256934272366524	-4.634728988229636
user	-5.82600010738045	-3.7612001156935624	-5.05199047977817	-4.912654885736052	-5.318119993844216	-4.499809670330265	-3.9889840465642745	-5.1647859739235145	-3.7256934272366524	-3.536116699561526
volume	-5.82600010738045	-3.7612001156935624	-4.541164856012179	-4.912654885736052	-4.624972813284271	-4.499809670330265	-4.68213122712422	-3.373026504695459	-3.7256934272366524	-4.634728988229636
