iPhone XS	256GB	Space Gray	1	2018-12-06	德国	0
iPhone 7	128GB	Black	2	2018-11-25	法国	0
iPhone 6S Plus	32GB	Argent 	1	2017-01-13	it	0
iPhone X	256GB	Argent	1	2018-07-18	法国	0
iPhone 7	32GB	Black	1	2018-07-29	法国	0
iPhone XS Max	64GB	Space Gray	5	2018-12-02	法国	0
iPhone X	64GB	Space Grey	3	2018-01-20	英国	0
iPhone 7 Plus	128GB	Black	1	2019-05-23	英国	0
iPhone 7	128GB	Argent 	1	2016-12-26	德国	0
iPhone XS Max	256GB	Argent	1	2018-12-31	法国	0
iPhone 7	32GB	Black	1	2018-08-16	德国	0
iPhone 7	32GB	Black	2	2018-05-22	法国	0
iPhone X	64GB	Space Gray	1	2018-12-04	德国	0
iPhone 7	128GB	Black	3	2017-04-21	英国	0
iPhone 7 Plus	32GB	Gold	4	2018-06-22	德国	0
iPhone XR	64GB	White	3	2019-05-24	法国	0
iPhone 8	64GB	Space Grey	1	2018-01-31	英国	0
iPhone XR	64GB	White	1	2019-06-22	法国	0
iPhone 6S	32GB	Rose Gold	1	2019-07-02	德国	0
iPhone 8	64GB	Space Gray	1	2019-04-05	德国	0
iPhone 7	32GB	Black	4	2018-09-30	德国	0
iPhone 6S	32GB	Space Gray	1	2019-02-17	法国	0
iPhone 7	32GB	Gold	1	2017-12-24	英国	0
iPhone 6S	128GB	Space Grey	4	2019-06-20	英国	0
iPhone 7	128GB	Black	1	2018-11-24	德国	0
iPhone X	256GB	Space Gray	1	2019-03-22	德国	0
iPhone 7	128GB	Rose Gold	3	2018-10-02	it	0
iPhone 8	64GB	Space Gray	2	2018-03-05	法国	0
iPhone XR	64GB	Black	2	2019-05-13	德国	0
iPhone XS Max	64GB	Space Grey	5	2019-01-20	英国	0
iPhone 6S	16GB	Rose Gold	1	2018-05-05	德国	0
iPhone 7	128GB	Black	2	2018-01-08	法国	0
iPhone 6S	16GB	Gold	3	2016-06-06	德国	0
iPhone 7 Plus	128GB	Rose Gold	1	2017-06-13	英国	0
iPhone XS	256GB	Gold	1	2018-10-17	德国	0
iPhone 7	32GB	Black	1	2019-05-13	美国	0
iPhone 7 Plus	32GB	Black	1	2018-12-21	美国	0
iPhone 8	64GB	Space Gray	2	2018-01-16	法国	0
iPhone 7	32GB	Gold	1	2017-07-13	美国	0
iPhone XS Max	64GB	Space Gray	2	2019-05-18	德国	0
iPhone 6S	32GB	Rose Gold	2	2019-05-30	德国	0
iPhone 6S	64GB	Space Gray	1	2017-01-12	德国	0
iPhone 8 Plus	64GB	Space Gray	5	2019-05-10	德国	0
iPhone XS	64GB	Gold	1	2019-02-26	美国	0
