iPhone 6S	64GB	Space Gray	5	2018-11-28	德国	1
iPhone XR	64GB	Blue	5	2019-06-27	法国	1
iPhone XS Max	64GB	Gold	5	2019-04-06	法国	1
iPhone 7	128GB	Silver	5	2019-03-11	英国	1
iPhone 7	32GB	Rose Gold	5	2017-04-05	英国	1
iPhone X	64GB	Space Gray	5	2018-10-13	德国	1
iPhone X	64GB	Space Gray	5	2018-11-06	法国	1
iPhone X	64GB	Silver	5	2018-04-28	英国	1
iPhone 8	64GB	Argent 	5	2018-12-26	法国	1
iPhone 7	128GB	Black	4	2017-07-01	法国	1
iPhone X	64GB	Silver	5	2018-03-10	英国	1
iPhone 7	32GB	Matt Black	5	2019-04-28	it	1
iPhone XR	128GB	Black	5	2018-11-26	it	1
iPhone 8	64GB	Space Gray	5	2019-06-14	法国	1
iPhone 7	128GB	Rose Gold	5	2017-12-16	德国	1
iPhone 8 Plus	64GB	Space Gray	5	2018-02-12	德国	1
iPhone XS Max	64GB	Argent	5	2019-01-25	法国	1
iPhone 7	32GB	Black	5	2019-04-24	德国	1
iPhone X	64GB	Argent	5	2018-10-25	法国	1
iPhone X	64GB	Space Gray	5	2018-10-05	德国	1
iPhone X	64GB	Space Gray	5	2019-03-27	德国	1
iPhone 8	64GB	Silver	5	2019-07-02	英国	1
iPhone 8	64GB	Space Gray	4	2019-02-15	德国	1
iPhone X	256GB	Space Gray	4	2017-12-10	德国	1
iPhone 8	64GB	Space Gray	5	2018-08-14	法国	1
iPhone XS Max	64GB	Argent	5	2018-12-21	法国	1
iPhone XS Max	64GB	Gold	5	2019-05-23	法国	1
iPhone XR	128GB	Blue	4	2019-06-23	法国	1
iPhone 7 Plus	32GB	Black	5	2019-01-05	美国	1
iPhone 6S Plus	32GB	Space Grey	5	2019-06-24	英国	1
iPhone 6S	128GB	Silver	5	2019-03-14	英国	1
iPhone XS	64GB	Argent	5	2018-11-09	法国	1
iPhone 8	64GB	Gray	5	2019-04-28	it	1
iPhone 7	32GB	Matt Black	5	2018-10-04	it	1
iPhone 8 Plus	64GB	Gold	5	2018-11-14	德国	1
iPhone 7	32GB	Matt Black	5	2017-05-29	it	1
iPhone XR	64GB	Black	5	2019-04-30	法国	1
iPhone XS	64GB	Argent	5	2019-03-04	法国	1
iPhone 8 Plus	64GB	Argent 	4	2017-11-30	法国	1
iPhone 7	128GB	Black	5	2017-01-11	法国	1
iPhone 6S Plus	32GB	Space Grey	5	2018-05-15	英国	1
iPhone XR	128GB	White	5	2019-04-14	it	1
iPhone XS	256GB	Gold	5	2018-12-17	法国	1
iPhone XR	128GB	White	5	2019-04-19	法国	1
iPhone X	64GB	Argent	5	2018-07-31	法国	1
iPhone 6S	64GB	Space Gray	5	2017-12-20	德国	1
iPhone 8 Plus	64GB	Space Gray	5	2018-09-12	法国	1
iPhone 7	128GB	Gold	4	2017-11-16	法国	1
iPhone XR	64GB	Blue	5	2019-06-06	法国	1
iPhone X	64GB	Space Gray	5	2018-09-16	德国	1
iPhone 7	128GB	Black	5	2018-10-26	德国	1
iPhone 8	64GB	Gray	5	2018-06-22	it	1
iPhone XS	64GB	Space Gray	5	2019-01-04	德国	1
iPhone 6S	16GB	Gray	5	2016-02-04	it	1
iPhone 7	32GB	Matt Black	5	2016-12-10	it	1
iPhone 8	64GB	Space Gray	5	2018-12-11	德国	1
iPhone 8	64GB	Gold	5	2018-08-25	法国	1
iPhone 7	32GB	Black	4	2016-12-13	法国	1
iPhone XS Max	64GB	Argent 	5	2019-06-02	德国	1
iPhone 7	32GB	Black	5	2019-01-26	美国	1
iPhone XR	64GB	Red	5	2019-02-23	德国	1
iPhone X	64GB	Argent 	5	2018-12-31	德国	1
iPhone XR	64GB	Blue	5	2019-03-26	英国	1
iPhone 7	32GB	Gold	5	2017-07-03	法国	1
iPhone 6S	64GB	Rose Gold	5	2018-11-29	德国	1
iPhone X	64GB	Silver	5	2018-06-16	英国	1
iPhone 8	256GB	Space Gray	5	2019-07-07	德国	1
iPhone XS Max	64GB	Gold	5	2019-05-02	法国	1
iPhone 7	32GB	Matte Black	3	2017-07-20	英国	1
