word,count
buy,163
expensive,56
price,126
life,46
product,131
screen,130
button,50
charge,42
return,64
money,62
box,51
disappointed,64
days,72
time,117
bad,77
delivery,42
lot,57
device,201
send,47
mobile,77
amazon,129
store,44
battery,216
original,47
camera,103
arrived,41
day,48
bought,114
received,82
quality,70
cell,67
warranty,79
seller,84
months,83
smartphone,71
display,102
completely,51
simple,41
sim,72
device,44
ios,69
android,80
compared,46
pay,54
samsung,71
people,56
worth,42
