phone_name,size,color,username,star,title,date,review
iPhone XS,64GB,Gold,Magdalena F.,3,Unlocked,2019-01-18,i buy a fully unlocked phone but when arrived the box says locked to simple mobile. it this work with other company?
iPhone XS,64GB,Gold,emyaz,1,Vorsicht!!!,2018-12-05,Inhalt der Verpackung stimmen nicht überein. Aus der Verpackung ist ein Händy mit der Marke Archos rausgekommen.
iPhone XS,256GB,Space Grau,Martin Z.,1,das ist kein iphone!,2018-12-06,bitte nicht kaufen das ist kein iphone!
iPhone XS,256GB,Gold,Amazon Kunde,1,nicht für den europäischen Raum!,2018-12-05,Kamera erzeugt keinen Ton. Version für den asiatischen Markt!
iPhone XS,256GB,Gold,Numa,4,Teures Smartphone mit bestem Betriebssystem,2018-11-02,Es ist ein TOP-Smartphone. Das Display ist der Wahnsinn. Extrem gute Farbdarstellungen, sehr schnell Ausführungen von Programmen. Sehr einfache Kompatibilität mit anderen Apple Geräten (für mich der Hauptkaufgrund, da ich einen Mac und ein iPad besitze). Der Preis ist aber zu hoch. Wer das Geld hat und ein Produkt will, dass die nächsten 4-5 Jahre halten soll, dem kann ich das definitiv empfehlen. Wer nicht soviel für ein Handy ausgeben möchte, dem empfehle ich das iPhone 8.Ein Android Handy kann und werde ich nie empfehlen können. (Vor dem Xs hatte ich Das Galaxy S8). Die wahre Stärke und für mich eines der wichtigsten Gründe ist iOS. Es mag sein, dass man es nicht „ändern“ kann, aber wenn dir die Begriffe „Linux“, „Root“ und „Booten“ nichts sagen, dann hat ein Android smartphone stets Nachteile.Akkulaufzeit ist etwas mager, für diesen Preis hätte Apple einen stärkeren Akku einbauen sollen, daher von mir nur 4*.
iPhone XS,256GB,Space Grau,Jürgen,2,keine Bereicherung!,2019-01-09,"ich habe/hatte eigentlich fast alles von Apple,...IPad, iPad Pro, Mac Book air, jetzt MacBook Pro, Apple Watch 2,iPhone 4,5,6,6s, jetzt 7 und war immer begeistert von der Zuverlässigkeit und Qualität.Doch bei diesem iPhone XS 256GB bin ich raus. Dieses super mega scharfe Oled Display kann kein richtigesweiss und schwarz. Es hat einen starken Gelbstich, der für mich nicht akzeptabel ist.Natürlich habe ich True Tone und das alles ausgeschaltet und habe sogar nur in den Grautönen überden Farbfilter gearbeitet = gelb!.Alle meine Fotos, die ich in SW mit meiner Canon 5d mark4 gemacht habe und in Photoshop aufwendigbearbeitet habe, sind jetzt gelbstichig. Die SW-Wirkung dieser Bilder ist jetzt total sinnlos.Ebenfalls fällt mir das lesen auf meinen iPhone 7 leichter, als beim XS, da der Kontrast klarer ist.Natürlich ist mir klar, das die Auflösung des OLED Displays viel höher ist, doch diesen unterschied nimmt dasmenschliche Auge nicht mehr war.Dieses noch nicht ausgereifte 1249€ Handy schicke ich wieder zurück und werde mir das iPhone 8 mitguter alter Qualität kaufen."
iPhone XS,64GB,Space Grau,Macinson,4,Tolles Handy zu einem sportlichen Preis,2018-11-13,"Nachdem ich jetzt seit dem IPhone 6 einige Geräte ausgelassen habe, war es an der Zeit sich ein neues IPhone zuzulegen.Grundsätzlich war es natürlich nicht der beste Moment, da die IPhones preislich seit dem X in neue Dimensionen eingetreten sind - doch vermute ich, dass die da auch nicht mehr so schnell herauskommen werden🤑.Nichtsdestotrotz also ab in den Apple Store, um die neuste Generation XS, XS Max und XR mal in die Hände zu nehmen. Nun ja, für jemanden der vom IPhone 6 kommt ist das dann natürlich optisch und haptisch ein Quantensprung. Das Display aller Geräte ist schon wirklich der Hammer, wobei das XR minimal hinter den Topgeräten liegt, da nur diese über ein OLED-Display verfügen (beim genauen Hinsehen und abhängig vom abgespielten Inhalt). Die Größe ich richtig toll und macht natürlich deutlich mehr Spaß.Die Größe und das nun vorhandene „Vollbild“ finde ich richtig toll und macht deutlich mehr Spaß im Vergleich zum 6er. Die „Notch“ (der schwarze Balken oben am iPhone) stört ehrlich überhaupt nicht (hier gibt es wohl einige Kritiker).Nach ein wenig Testen, habe ich mich in erster Linie aufgrund der Größe dann für das XS entschieden, ich das Telefon häufig in der Hosentasche trage, ist mir das XR leider etwas zu groß. Vom Funktionsumfang hätte es mir vermutlich gereicht.Nachdem das Gerät nun ein paar Tage im Einsatz war, muss man feststellen, dass man den fehlenden Homebutton nicht eine Sekunde vermisst, da man sich intuitiv sehr schnell an die neue Handhabung gewöhnt hat. Auch Face-ID funktioniert absolut problemlos und erleichtert das Anmelden auch in div. Apps ungemein. Die Kamera ist ebenfalls top und auch noch einmal eine gute Stufe besser als die beim iPhone Xr.Insgesamt ist die Performance hervorragend und alle Funktionen/Apps laufen flüssig. Zur Akkulaufzeit an sich kann man noch nicht viel sagen, da ich das Telefon jeden Abend aufgeladen wurde. Dies werde ich aber noch genauer beobachten und ggf. ein Update schreiben. Im Vergleich zu meinem alten iPhone ist es minimal Größer und wenn man es in die Hand nimmt merkt man sofort einen leichten Gewichtsunterschied (etwas schwerer).Fazit:Insgesamt hat Apple hier mal wieder ein Spitzentelefon auf den Markt gebracht, was man aber in der Preiskategorie auch erwarten darf. Die Qualität ist herausragend und ich hoffe es hält die nächsten Jahre, da wir durchaus planen auch jetzt wieder einige Modelle ausfallen zu lassen😉. Ich ziehe trotz allem Lob einen Stern ab, da ich finde, dass hier preislich inzwischen echt Grenzen überschritten wurden. Ich kann mich vielleicht nicht beschweren, da auch ich diesen Preis bezahlt habe, aber ich bin der Meinung, dass man auch im Bereich um die 1000 € (bzw. etwas darunter) durchaus in der Lage sein sollte seine Top-Gerät auf den Markt zu platzieren.Ich hoffe meine persönliche und subjektive Einschätzung hilft einen besseren Eindruck zu dem Produkt zu bekommen."
iPhone XS,256GB,Silber,Amazon Kunde,5,"Super zufrieden, trotz einiger negativen Rezensionen hier",2019-03-30,"Viele Rezensionen hier machen das Produkt oder den Verkäufer schlecht. Deshalb muss ich mich nun auch äußern.Ich hab es gewagt, diese iPhone zu kaufen.Und ich bin sehr zufrieden.Schade war nur, dass das ersehnte iPhone nicht zum angekündigten Datum geliefert wurde.„Bestellen sie in den nächsten 45 min um morgen die Ware zu erhalten.“ gemacht getan. Das iPhone kam nicht am nächsten Tag, sondern am übernächsten. Naja. Da kann man drüber weg sehen.Da manche geschrieben haben, dass sie ein anderes Smartphone als bestellt geliefert wurde, oder gar mit falscher Seriennummer, war ich skeptisch. Alles geprüft. Alles ok.Geliefert wurde ein iPhone, wie ich es bestellt hatte.Seriennummern haben auf der Schachtel, sowie auf dem iPhone gepasst. Speichergrösse und Farbe auch.Das iPhone ist ein europäisches iPhone.Der Beipackzettel ist auch auf deutsch.Also habt keine Scheu. Ihr könnt hier günstiger als bei Apple direkt ein sehr gutes Handy kaufen.Ich hoffe ich kann einigen die Angst nehmen hier ein günstigeres iPhone zu kaufen."
iPhone XS,256GB,Silber,Dana ,5,Bedenken nach 2 Std verschwunden,2018-11-17,"Wie soviel Andere,hatte ich meine Bedenken,was die Handhabng angehen würde. Ob ich kch an den fehlenden Homebutton werde gewöhnen können?! Ich kann hier Jeden beruhigen, das lief nach 1-2 Std autmatisch ! Der Homebutton fehlt garnicht.Ansonsten ist ja kit Abstand das beste Gerät welches ich je hatte! Fotos und videos sind herausragend!Face ID funktioniert sogar bei Abendlicht und auch mit Sonnenbrille und Mütze!Zudem hatte ch bedenken was den silbernen Alurand anging,der nun glänzt statt wie bis dato gebürstet daherkam. Das seht allerdngs sogar hochwertiger aus und fühlt sich gut an!Hoher Preis,aber gerechfertigt"
iPhone XS,64GB,Space Grau,Carolina Santos Batista,5,"Original Apple iPhone, but I bought cheaper than in the Apple Store",2019-01-29,"I'm not sure why there are some reviews that say that the phone is not original because it is and even before I received it Amazon sent me the serial code (which you can, of course, check online to see if it is valid). Came in the perfect packaging and it is exactly what Apple advertises it. Amazon is an authorized reseller for Apple and it makes no sense that this phone would not be original. Regarding the phone itself, it is an excellent phone with an awesome camera. I upgraded from the iPhone 8 plus and I'm really happy with it. If you have any cloud service subscription the 64gb are more than enough."
iPhone XS,256GB,Space Grau,SK,5,Absolut top Smartphone!,2019-02-03,"Was soll ich sagen. Nach 4 Jahren mit einem iPhone 5s bin ich zu Weihnachten auf ein iPhone XS 256 GB (spacegrau) umgestiegen. Ich bin nach wie vor jedes Mal begeistert, wenn ich das iPhone in die Hand nehme. Da ich aktuell nichts Negatives berichten kann möchte ich ein paar Dinge hervorheben, welche mich besonders begeistern:- das Display ist ein einziger Genuss- die Kamera Qualität ist wirklich überragend. Auf dem iPad sehen die Bilder sogar noch besser aus als auf dem iPhone-Display.- die Performance ist wirklich beeindruckend. Alles läuft derart flüssig- Face ID funktioniert bei mir tadellos. Egal ob in kompletter Dunkelheit, mit/ohne Brille, mit/ohne Bart...Kann die negativen Eindrücke anderer Nutzer in keinster Weise bestätigen- Geschwindigkeit im WLAN und LTE-Netz teils erheblich besser als beim iPhone 5sNach knapp über einem Monat kann ich noch nichts Verlässliches über die Akkulaufzeit berichten.Jedoch ist diese besser als erwartet, im Vorfeld wurde diese ja bekanntlich nicht als große Stärke des XS bewertet.Trotz des hohen Preises würde ich mir das iPhone XS sofort wieder kaufen. Vor allem wenn man von einem 5s kommt ist man in jeder Hinsicht einfach nur überwältigt.Somit kann ich das iPhone XS uneingeschränkt weiterempfehlen."
