phone_name	size	color	username	star	title	date	review
iPhone XS	256GB	Grigio Siderale	Massimo e Katia	5	“Quasi” perfetto!	2018-10-17	"Facciamo una veloce disamina dei principali pregi e difetti di questo telefono, ultimo nato in casa Apple, senza fare troppa attenzione ai freddi numeri ma, principalmente, all’uso quotidiano. Cominciamo da cosa non mi è piaciuto:-Pesa. Eh già, la storia del vetro posteriore per permettere la ricarica wireless ha aumentato la mole ed in tasca si fa sentire, anche in mano non passa inosservato, ma ci si abitua.-La fotocamera a semaforo sporgente. Bruttina a vedersi rende il device ballerino se appoggiato in piano sul dorso.-Il “Notch 1”. Sta cavolo di tacchetta è invasiva, soprattutto se guardi video o se le app non sono ottimizzate, quindi via quella porzione di display e tanti saluti al grande schermo.-Il “Notch 2”. E ci risiamo! La diabolica strisciolina nera che ci combina ancora? Riduce lo spazio  per le icone di sistema nella parte alta....vuoi vedere la percentuale di batteria, se il bt è acceso, se è attivo un eventuale vpn, il nome oprratore, ecc? Bene, ogni benedetta volta dovrai tirare giù il menu a tendina, quello delle impostazioni “rapide” per capirci. Sembra una stupidata, ma nell’uso quotidiano è una bella rottura! Male!-La percentuale di batteria rimanente. Lo so, mi ripeto, scusatemi! Ma cosa cavolo ci voleva ad inserirla all’interno dell’apposita icona? Bah!-La batteria. Ok, chi ha avuto un IPhone ci è abituato, con uso intenso non ci arrivi a sera, si sa. Ma la storiella che sui nuovi Iphone dura di più è una stupidata.Lo schermo oled ciuccia, se anche una differenza ci fosse non ve ne accorgereste nemmeno...-Siri. Niente...nonostante le shortcuts siamo ancora lontani anni luce dall’assistente Google.-Le animoji e le memoji. Ora, con tutto il rispetto...ma che davvero? O sei un bimbo di 6 anni o quale sarebbe l’utilità? Farti passare per un fesso anche durante messaggi e videochiamate? Che poi almeno risparmiateci le presentazioni fiume di ste ca... cavolate!-Il processore. Una potenza esagerata anche per un pc. Ma cosa ci fate con i cellulari??? Se non vi mettete a progettare il prossimo centro commerciale di Dubai o andate in giro come zombie per i giochi di VR, tutta sta potenza è assolutamente inutile. Marketing, punto. L’utente medio del “buongiornissimo” su Facebook e della foto della cotoletta su Instagram cosa dovrebbe farsene?-Costa. Se senti un crack e speri sia il ginocchio piuttosto che il telefono, evidentemente, un problema c’è!-Non è 5g. Anche qui...Apple la conosciamo...certo che si sarebbero potuti anche sprecare per una volta. Invece, indovina un po’? Niente predisposizione per il 5g che dovrebbe arrivare nel 2020 in Italia. E tra due anni se vuoi usare la nuova banda,ooops, tocca fare l’upgrade al nuovo modello.-I tasti fisici. Ora il tasto di accensione richiama Siri, per spegnere il cellulare devi premere contemporaneamente tasto volume meno e tasto di accensione, per gli screenshot tasto volume più e tasto accensione. Scomodo.-Niente adattatore lightning/jack per le cuffie nella confezione. Se lo vuoi te lo paghi a parte, così come il caricatore rapido. Tirchioni!-Non giustifica l’upgrade dal X, poche novità e non imprescindibiliCosa mi è piaciuto:-Il processore. Lo so, mi contraddico, ma cavolo! È una scheggia! Fluido, mai un lag, mai un’incertezza, mai un ritardo. Smooth!-Il display. L’oled è uno spettacolo, in qualsiasi condizione di luce è uno spettacolo.-L’audio è effettivamente migliorato.-Il Face-Id è infallibile e molto veloce, anche con gli occhiali da sole zero problemi. Mi riconosce addirittura appena sveglio, ok poi si gira dall’altra parte schifato, ma comunque il telefono lo sblocca.-La fotocamera. Anche se non siete dei professionisti, in qualsiasi condizioni di luce otterrete sempre risultati impeccabili.-Ricezione cellulare, dati, bt e wifi. Perfetto, nulla da dire.-Qualità costruttiva. È un Iphone e si sente!-Integrazione hardware/software sempre al top.-È un compagno di viaggio affidabile e semplice nel suo utilizzo quotidiano, non dovrete fare mai troppi sbattimenti per mantenerlo in perfetta forma.-L’ecosistema Apple, chiuso ma al tempo stesso così rassicurante, e gli aggiornamenti continui.-La qualità delle App.-Vi potrà sembrare una sciocchezza ma...tutto funziona bene! Certo qualche difetto c’è, ve li ho elencati sopra, ma credetemi, una volta che avrete in mano questo piccolo concentrato di tecnologia, passeranno in secondo piano.Se ci sono le possibilità economiche e non siete amanti della personalizzazione spinta questo è un telefono eccezionale.Se volete fare qualche domanda usate pure l’apposita funzione di Amazon, sarò felice di aiutarvi."
iPhone XS	256GB	Oro	Massimo e Katia	5	“Quasi” perfetto	2018-10-17	"Facciamo una veloce disamina dei principali pregi e difetti di questo telefono, ultimo nato in casa Apple, senza fare troppa attenzione ai freddi numeri ma, principalmente, all’uso quotidiano. Cominciamo da cosa non mi è piaciuto:-Pesa. Eh già, la storia del vetro posteriore per permettere la ricarica wireless ha aumentato la mole ed in tasca si fa sentire, anche in mano non passa inosservato, ma ci si abitua.-La fotocamera a semaforo sporgente. Bruttina a vedersi rende il device ballerino se appoggiato in piano sul dorso.-Il “Notch 1”. Sta cavolo di tacchetta è invasiva, soprattutto se guardi video o se le app non sono ottimizzate, quindi via quella porzione di display e tanti saluti al grande schermo.-Il “Notch 2”. E ci risiamo! La diabolica strisciolina nera che ci combina ancora? Riduce lo spazio per le icone di sistema nella parte alta....vuoi vedere la percentuale di batteria, se il bt è acceso, se è attivo un eventuale vpn, il nome operatore, ecc? Bene, ogni benedetta volta dovrai tirare giù il menu a tendina, quello delle impostazioni “rapide” per capirci. Sembra una stupidata, ma nell’uso quotidiano è una bella rottura! Male!-La percentuale di batteria rimanente. Lo so, mi ripeto, scusatemi! Ma cosa cavolo ci voleva ad inserirla all’interno dell’apposita icona? Bah!-La batteria. Ok, chi ha avuto un IPhone ci è abituato, con uso intenso non ci arrivi a sera, si sa. Ma la storiella che sui nuovi Iphone dura di più è una stupidata.Lo schermo oled ciuccia, se anche una differenza ci fosse non ve ne accorgereste nemmeno...-Siri. Niente...nonostante le shortcuts siamo ancora lontani anni luce dall’assistente Google.-Le animoji e le memoji. Ora, con tutto il rispetto...ma che davvero? O sei un bimbo di 6 anni o quale sarebbe l’utilità? Farti passare per un fesso anche durante messaggi e videochiamate? Che poi almeno risparmiateci le presentazioni fiume di ste ca... cavolate!-Il processore. Una potenza esagerata anche per un pc. Ma cosa ci fate con i cellulari??? Se non vi mettete a progettare il prossimo centro commerciale di Dubai o andate in giro come zombie per i giochi di VR, tutta sta potenza è assolutamente inutile. Marketing, punto. L’utente medio del “buongiornissimo” su Facebook e della foto della cotoletta su Instagram cosa dovrebbe farsene?-Costa. Se senti un crack e speri sia il ginocchio piuttosto che il telefono, evidentemente, un problema c’è!-Non è 5g. Anche qui...Apple la conosciamo...certo che si sarebbero potuti anche sprecare per una volta. Invece, indovina un po’? Niente predisposizione per il 5g che dovrebbe arrivare nel 2020 in Italia. E tra due anni se vuoi usare la nuova banda,ooops, tocca fare l’upgrade al nuovo modello.-I tasti fisici. Ora il tasto di accensione richiama Siri, per spegnere il cellulare devi premere contemporaneamente tasto volume meno e tasto di accensione, per gli screenshot tasto volume più e tasto accensione. Scomodo.-Niente adattatore lightning/jack per le cuffie nella confezione. Se lo vuoi te lo paghi a parte, così come il caricatore rapido. Tirchioni!-Non giustifica l’upgrade dal X, poche novità e non imprescindibiliCosa mi è piaciuto:-Il processore. Lo so, mi contraddico, ma cavolo! È una scheggia! Fluido, mai un lag, mai un’incertezza, mai un ritardo. Smooth!-Il display. L’oled è uno spettacolo, in qualsiasi condizione di luce è uno spettacolo.-L’audio è effettivamente migliorato.-Il Face-Id è infallibile e molto veloce, anche con gli occhiali da sole zero problemi. Mi riconosce addirittura appena sveglio, ok poi si gira dall’altra parte schifato, ma comunque il telefono lo sblocca.-La fotocamera. Anche se non siete dei professionisti, in qualsiasi condizioni di luce otterrete sempre risultati impeccabili.-Ricezione cellulare, dati, bt e wifi. Perfetto, nulla da dire.-Qualità costruttiva. È un Iphone e si sente!-Integrazione hardware/software sempre al top.-È un compagno di viaggio affidabile e semplice nel suo utilizzo quotidiano, non dovrete fare mai troppi sbattimenti per mantenerlo in perfetta forma.-L’ecosistema Apple, chiuso ma al tempo stesso così rassicurante, e gli aggiornamenti continui.-La qualità delle App.-Vi potrà sembrare una sciocchezza ma...tutto funziona bene! Certo qualche difetto c’è, ve li ho elencati sopra, ma credetemi, una volta che avrete in mano questo piccolo concentrato di tecnologia, passeranno in secondo piano.Se ci sono le possibilità economiche e non siete amanti della personalizzazione spinta questo è un telefono eccezionale.Se volete fare qualche domanda usate pure l’apposita funzione di Amazon, sarò felice di aiutarvi."
iPhone XS	64GB	Argento	Cliente Amazon	3	iPhone XS problema antenne	2018-11-03	Problemi con le antenne. Lo sconsiglio fortemente se avete una scarsa ricezione del segnale 3G / 4G o LTE. Questo perché le antenne dell’ iPhone XS ha una ricezione più debole del segnale dati. Ha una ricezione più debole rispetto al mio vecchio iPhone 5s (con questo il segnale è nettamente più forte e stabile). Con quello che costa doveva essere perfetto. L’aggiornamento software IOS 12.1 non ha risolto il problema di potenza e stabilità del segnale.
iPhone XS	64GB	Argento	Stefano Bettoni	5	🥇🥇che dire Perfetto🥇🥇	2019-05-14	Ottimo prodotto in perfette condizioniAll’inizio ero molto scettico a comprare uno smartphone qui ma alla fine mi sono ricredutoIl pacco è arrivato perfettamente puntuale e in perfetto stato non potevo chiedere di meglioOrmai sono un esperto di iPhone avendo il melafonino da ormai 7 anni e devo dire che questo ultimo modello è una bomba sia in termini di estetica e di potenzaFaccio fatica a scaricarlo usandolo quasi tutto il giornoNon si impalla mai!Le foto sono perfette e di questo ne va matta la mia morosa ( ormai sono un ph provetto)E il Face ID è veramente istantaneoAcquisto consigliatissimo per tutti gli amanti iPhone!
iPhone XS	256GB	Grigio Siderale	Patrick	5	Perfetto!	2018-11-10	"Non c’ è molto da dire su un prodotto Apple. Lo trovò assolutamente perfetto: velocissimo, foto sorprendenti, bellissimi materiali etc. Se devo trovargli dei difetti sappiate che è piuttosto pesante , sotto stress scalda un po’ (niente di che comunque) e a volte, fa un attimo fatica a caricare i contenuti di una pagina ( credo che risolveranno con successivi aggiornamenti) . A parte questo per me è il top! Il negoziante Amazon è veramente professionale!"
iPhone XS	256GB	Grigio Siderale	Leonardo	2	Iphone Xs con difetto estetico	2019-05-03	"Premetto che Amazon è e resterà per me sinonimo di garanzia anche dopo questa esperienza.Purtroppo mi ritrovo ad effettuare questa recensione negativa per i seguenti motivi:Ho acquistato un iphone Xs 256 GB grigio siderale circa 10 giorni fa.Lo smartphone mi arriva il giorno previsto e senza nemmeno accenderlo gli applico una pellicola di protezione acquistata preventivamente.Configuro il telefono ripristinando il  mio backup e migrando tutte le principali applicazioni perdendoci mezza giornata.Il giorno successivo all'acquisto, maneggiando il telefono, mi accorgo di una specie di protuberanza/bozza nella parte superiore destra dell'iphone. Chiamo il supporto, spiegando quanto rilevato e prontamente mi viene inviato un nuovo telefono (amo Amazon per questo).Ripongo il telefono nella sua confezione e dopo qualche giorno di attesa mi arriva il nuovo telefono.Stesso schema: appena aperto applico una Nuova pellicola (ricomprata) al nuovo smartphone.Ci metto più di mezza giornata a riconfigurare tutto e a resettare il primo smartphone per effettuare il reso.Dopo aver fatto tutto, convinto di essere a posto, osservo il telefono e mi accorgo che anche il nuovo ha lo stesso difetto (vedi foto). da uno smartphone costato più di 1200 euro ti aspetti la perfezione, ed invece...Ho deciso comunque di tenerlo, perchè non posso perdere altre giornate tra backup/ripristini e attese in posta per il reso.Tuttavia mi ritengo molto insoddisfatto e soprattuto deluso per Amazon ed Apple (mi chiedo dove sia il controllo qualità?)Ne approfitto per fare una domanda a chi magari ne sa più di me: ma un difetto del genere può incidere sulle caratteristiche fisiche? (resistenza agli urti)."
iPhone XS	256GB	Grigio Siderale	Martina	4	Peccato per la batteria :(	2019-01-19	"Consegna perfetta! Sul prodotto niente da dire, ho effettuato il reso perché la batteria aveva problemi e perché essendo un regalo per mia madre era troppo “complesso”: dopo un giorno di utilizzo aveva una percentuale ridotta già del 15%. Assistenza Amazon impeccabile, comprerò un modello inferiore solo per comodità del destinatario del regalo!"
iPhone XS	256GB	Grigio Siderale	Franceeesco	5	Arrivato prima della data prevista	2018-11-22	Nessun problema con il venditore e del prodotto
iPhone XS	64GB	Argento	Domy	5	Il solito iPhone	2019-03-19	"Dopo Aver congedato il mio iPhone 6 negli ultimi quattro anni ho cambiato molti smartphone...cmq scelta è ricaduta ancora su un modello Apple..il prezzo è alto ma l’ho smartphone ci vale perché è bello e veloce e ben fatto..e sopratutto nell utilizzo di tutti i giorni è perfetto,godibile fluido..la batteria mi porta nel bene o nel male a sera circa ore 21 con uso intenso..per il restò consiglio L acquisto poi iOS e meno restrittivo rispetto al passato aumentando così L esperienza d uso"
iPhone XS	256GB	Oro	Max	5	Personale e  assistenza Amazon da dieci e lode	2019-06-29	"Cosa dire......innanzi tutto complimenti al personale di Amazon che a fronte di un grave problema con la spedizione del primo IPhone XS si sono dimostrati capaci, professionali e molto cordiali ad inviarmi in poco tempo un’ altro device nuovo, concludendo BRAVI BRAVI E BRAVI!!!!Per quanto riguarda l’ IPhone non c’è tanto da dilungarsi, device potente e bellissimo firmato Apple.Spedizione eccellente tutto perfetto! CONSIGLIATO!"
