phone_name	size	color	username	star	title	date	review
iPhone XS	64GB	Silver	Black and White	2	This is a good quality smartphone but there are some flaws to consider when.......	2018-12-10	"This is a good quality smartphone but there are some flaws to consider when buying this smartphone.The display quality is good, the camera quality is decent but far from the best available. The Samsung Galaxy Note 9 and the Huawei Mate Pro 20 have far better quality cameras and cost less to purchase.The battery life on this smartphone is okay and you get a decent amount of use before requiring a recharge.The performance is good and reliable and the construction of this smartphone is nice and it has a combination of durable glass, surgical grade stainless steel and an IP68 waterproof rating.This smartphone has Advanced Face ID which can be used to unlock your smartphone, Log into banking apps and more. This feature works well and fast.Technical Data and Specifications:Operating system: iOS 12Processor: Apple A12 Bionic chip with Next-Generation Neural EngineMemory: 64GB internal StorageSIM type: Nano SIMScreen:5.8"" Super Retina HD OLED DisplayFull HD 2436 x 1125p - PPI: 458TouchscreenIP68 ratingTrue Tone display3D TouchFingerprint-resistant oleophobic coatingSupport for display of multiple languages & characters simultaneouslySensors:Face IDBarometerThree‑axis gyroAccelerometerProximity sensorAmbient light sensorCamera:Main: Dual 12 MP Wide-Angle / 12 MP TelephotoFront: TrueDepth 7 MPVideo resolution: 4K Ultra HD (60 fps)Quad-LED True Tone flash with Slow SyncCamera features:Dual 12 MP wide-angle and telephoto camerasWide-angle: f/1.8 apertureTelephoto: f/2.4 aperture2x optical zoom, digital zoom up to 10xPortrait Lighting with five effects (Natural, Studio, Contour, Stage, Stage Mono)Sapphire crystal lens coverBackside illumination sensorHybrid IR filterAutofocus with Focus PixelsSmart HDR for photosWide colour capture for photos & Live PhotosLocal tone mappingAuto image stabilizationBurst modePhoto geotaggingVideo:4K video recording at 24 fps, 30 fps or 60 fps1080p HD video recording at 30 fps or 60 fps720p HD video recording at 30 fpsOptical image stabilisation for video2x optical zoom, digital zoom up to 6xQuad-LED True Tone flashSlo‑mo video support for 1080p at 120 fps or 240 fpsTime‑lapse video with stabilisationCinematic video stabilisation (1080p and 720p)Continuous autofocus videoTake 8 MP still photos while recording 4K videoVideo geotaggingConnectivity:LightningWiFi3G, 4G readyBluetooth 5.0GPSNFC with reader modeDimensions: 143.6mm H x 70.9mm W x 7.7mm DWeight: 177GOverall this is a decent smartphone which works well and has durable construction but the price to value ratio is very bad value for money in comparison to other flagship smartphones available on the market currently. Also not long ago it has been exposed Apple have been providing software updates for customers with older Apple products in order to slow down performance of their Apple product, making customers believe they need to replace their Apple products with new Apple products.This scandal has been reported in the mainstream media and there are plans to bring a class action against Apple for this immoral practice. Many customers can not afford a replacement and would like their phone to last as long as possible and what you get is the manufacturer these customers trusted giving them updates to slow down their product and ultimately profit from it and there are privacy concerns and backdoor access issues with this smartphone.Thanks for reading my review I hope you found it helpful."
iPhone XS	64GB	Gold	Nouman Khalid	4	Solid Performer	2018-12-04	"This phone came in perfect packaging, thanks to Amazon. The phone itself was bought for my wife, who loves it. The gold colour really does look very nice and you can tell the build quality is very premium. I think the face unlock is good but they should have kept the fingerprint scanner. But then again, maybe that is the way forward! The reason why I did not give the iPhone XS a 5 star is because I think it is overpriced, despite it's quality. But that's just my opinion. :)"
iPhone XS	256GB	Silver	Tatjana Kovacevic	5	"Excellent product, great quality!"	2018-12-08	Great product like every Apple. All people what writing bad stuff need to check reference and description of the product on Apple website and then decide to buy or not to buy. I was using iPhone 6s all this time and now buy XS and I love it. Friend of mine used 8-9 years iPhone and now he bought  Samsung because was cheaper than iPhone and he regretted. All this will understand iPhone lovers. You can’t compare this phone with Huawei.. it’s funny review who wrote that.
iPhone XS	64GB	Space Grey	John B.	1	No clarity on warranty	2019-02-19	Neither the microphone nor the speakers on this telephone work properly. More troublesome I don’t know how to get the warranty on it. Does it go to Apple? Nobody tells you
iPhone XS	64GB	Gold	Bluntknife	5	Shiny. Gold. Expensive.	2019-01-30	"It is all of the things you come to expect from Apple. High quality, a phone that is more NASA than NASA. And very expensive. I'd still highly recommend Apple products, and no, I'm not an Apple fanboy. I'm sure the same could be said of the top end other smartphones."
iPhone XS	512GB	Space Grey	Franck Horlaville	5	Cannot recommend enough!	2018-11-29	Arrived swiftly and perfectly packaged. Adore the phone. Cannot recommend enough!
iPhone XS	256GB	Silver	Irina Pockajeva	3	Nice	2018-12-12	"Nice phone, but I very disappointed about delivery,"
iPhone XS	256GB	Silver	Nicky Lee	5	Best Phone on the Market.	2019-05-01	"Very expensive, but the best phone money can buy. I bought mine a few months ago on a special deal, I got a 256gb fir the price of a 64gb.Over the last few months this phone has obliterated anything thrown at it from intensive programs to 4K live streams, augmented reality it can handle anything, it is raw power. Battery life is poor, if you are a power user you will be out of charge within 6 - 8 hours. So keep that in mind. I’ve dropped this phone on solid marble tiles and it didnt leave a scratch, they are durable, but take no risk, buy a sturdy case.It’s a great phone, the best money can currently buy, but wait for the prices to drop, because they are very expensive,l."
iPhone XS	64GB	Gold	stefan ulfarsson	5	Fast delivery	2018-12-03	Item came quicker than expected and everything was as expected so over all very happy with the service and product.
iPhone XS	256GB	Space Grey	Adam29	3	We’re stalling apple!	2019-04-30	Apple seem to be more about rushing out products to make more money than spending time make a decent product these days. The really to me seemed to have rushed out this iPhone the quality overall just doesn’t say apple!
iPhone XS	256GB	Space Grey	Manav Dawra	2	Broken seal of the phone’s box.	2019-02-02	"I got the product and the seal of the product was broken, though the phone looked fine but still it isn’t a good impression when you buy such an expensive phone the seal is broken."
iPhone XS	256GB	Gold	Pablo CASADO ARENAS	5	Great little phone	2019-02-28	"I was getting tired of getting huge phones, and iphone xs is perfect size. it is also blazingly fast. Yes, it is not cheap at all, but bear in mind that you can resell for a higher price that you would resell an android, so, in the end, you are not throwing away all this money in a phone, since it has good reselling."
iPhone XS	256GB	Silver	Aukse	1	Where is document?	2019-03-03	"I buy this phone, but get with him only phone box. I would like to ask where is my phone document?"
iPhone XS	256GB	Space Grey	AliDi	5	Great phone	2019-03-22	Takes a bit of getting used to but a great phone
iPhone XS	512GB	Silver	Mr H.	5	Genuine product at a great price	2019-06-03	Excellent deal on this saving £250 versus apple store price!
iPhone XS	256GB	Silver	Oliver G	5	256gb same price as 64gb...BARGAIN	2019-03-26	"Was skeptical but a genuine Apple iPhone sold directly from Apple. Arrived new and unlocked in a sealed box with all the accessories (lightning charger, headphones, lightning to 3.5mm adapter etc). Managed to get a 256gb for the same price as you’d get a 64gb buying from Apple direct."
iPhone XS	256GB	Gold	A Bright	5	Good buying experience. Excellent supplier	2018-12-29	Good prompt communication and fast delivery. Product new and boxed as described. Usual Apple high standard iPhone. Many thanks
iPhone XS	256GB	Space Grey	Amazon Customer	5	Awesome	2019-02-26	Awesome.
iPhone XS	256GB	Gold	Abby	1	Ms	2019-06-26	"I got a second hand iphone xs, and I cannot activate it because of the previous owner' account, and I cannot ask for the return and refund on my order page!  Right now the phone is totally useless to me, and I spend so many money on it!"
