phone_name	size	color	username	star	title	date	review
iPhone XS	64GB	Gold	Magdalena F.	3	Unlocked	2019-01-18	i buy a fully unlocked phone but when arrived the box says locked to simple mobile. it this work with other company?
iPhone XS	64GB	Gold	Amazon Customer	5	Nice 👍	2018-10-23	Beautiful 😍
iPhone XS	64GB	Space Gray	Mercuryball	1	Save your money.	2019-02-05	"The most expensive POS to come out of Apple. It’s a $200 phone for $1000 bucks. If took the same money and put it towards a great camera you would have a professional camera and could buy a simple phone. Apple has duped us once again. By far the worst apple purchase I have made. My last time I buy a phone from this overindulgent company that puts more thought into its packaging than its products. Basically the overpriced less impressive model that Starbucks and Apple have milked us for for years. Learning that Apple no longer is innovative...it follows an ever growing pack of cheaper, more stylish competitors."
iPhone XS	64GB	Space Gray	Vineeth Vasudevan	5	Excellent product	2018-11-05	iPhone XS features and quality worth it for the price. Not suggestible to upgrade from an iPhone X to XS but if not then worth an upgrade.
iPhone XS	64GB	Gold	Magdalena García	1	¿completamente desbloqueado? NO	2019-03-06	"A pesar de que el producto dice ser completamente desbloqueado, no funciona con cualquier PIN.Aguardo una respuesta de forma inmediata, ya NO cumple con las caracteristicas de un teléfono DESBLOQUEADO."
iPhone XS	64GB	Silver	EagleEye	5	Perfect choice	2018-11-02	As expected
iPhone XS	64GB	Gold	ricardo bennett	1	It's unblocked and it's NOT	2019-03-12	"Doesn't work, blocked!!!!!!!"
iPhone XS	64GB	Space Gray	Pablo Muñoz Castro	1	No esta Desbloquedo como dice Amazon.com	2019-03-27	El Iphone viene bloqueado por SimpleMobile. No esta desbloqueado para uso internacional como dice al momento de comprarlo. Es un FraudeIMEI consultado: 357202097152590Tu equipo no se encuentra inscrito en el sistema y no puede funcionar en las redes móviles nacionales.
iPhone XS	64GB	Gold	mishu Martínez	1	Enunciado falso	2019-04-09	"Totalmente decepcionada, la descripción no corresponde al producto al referirse con ""totalmente desbloqueado"" significa todo lo contrario, la publicidad es falsa."
iPhone XS	64GB	Space Gray	normando contreras	1	Oferta engañosa	2019-04-22	"Este equipo lo ofrecen de forma engañosa como desbloqueado y después tienes que resolver por tu cuenta la activación del producto. Ellos indican que se venció la garantía y ya, cuando uno confía en la oferta que hacen"
iPhone XS	64GB	Gold	Francisco J.	1	Pesimo producto	2019-05-08	No es desbloqueado
iPhone XS	64GB	Gold	samuel	1	"no sirve para cualquier compañia, lo mandan bloqueado"	2019-03-07	"asco, tuve que devolverlo"
iPhone XS	64GB	Gold	Gary B	1	Defective out of the box	2019-02-26	"I purchased this xs to replace my 6 plus. Once I got it home, I noticed it would not hook up to cellular data. I also noticed that I had to swipe it two or three times or more to get it to open up. The facial recognition was very slow and sometimes wanted the pass code entered.  When I went to reset it, I couldn’t get it too shut down. It felt like the on off button was not connecting properly. Went back to the store, and the tech went through the same things I did with no success. They wanted me to go outside the store and try the cellular data. I did that with no success. It would make calls and text, but not send or receive photos or data.I decided right then and there, after using 2 hours of my time, I was going return this defective device. I need more reliable equipment for use in my business. I’m a pilot. After paying $1000 plus for it, I was disappointed. I will reactivate my 6 plus, which never let me down, and then consider all other options. They offered to replace the phone with a refurbished unit, or send it in for repair. But since it’s brand new, I can return it per the store policy. I Just don’t feel good about how this has worked out but definitely don’t want to keep this 10s."
iPhone XS	64GB	Space Gray	Amazon Customer	5	Got me to end using Android phones forever	2019-04-07	"This is my second iPhone. My first was one of the early models, and I eventually switched to Android phones for quite a while. When this came out, I loved the increased usable screen area. I immediately purchased one and have loved everything about it. I upgraded to the 256gb model and have way more than enough storage to keep everything I want on the phone. The battery life really amazed me. I use the phone for both business and personal use, so it stays pretty busy. I have never had to recharge the phone before the end of the business day. And the recharge time is very short - it recharges from 20% to fully charged amazingly quickly. The camera takes great pictures. When zooming in, the definition is still perfect. The Face ID is wonderful. I use it for almost everything and it is very accurate, logging me in almost every time. The only times it doesn't seem to work is in low lighting, which only makes sense. Overall this is a fantastic phone, I'm glad that I spent the money, and I will never go back to Android."
iPhone XS	64GB	Gold	CS	1	"Buyer Bewarer - Lost music, New headphone"	2019-05-05	"We purchased this phone through a Verizon trade in.  By far, the worst upgrade in my 10-year history of Apple Phones.  Not only did I lose 65% of all the songs I painstakingly burned and created playlists for, but the headphones end connector has changed as well .  It is non-universal so you will not be able to use the new headphones on planes or other devices like tablets or computers. The music I lost wasn’t pre-cloud.  Nevertheless, Apple Support was very nonchalant about this loss.  They say they are “pushing” all users to subscribe to Apple Music!  Shame on you, Apple!  We’re switching to another product."
iPhone XS	64GB	Space Gray	Amazon Customer	5	Nice	2019-01-02	Nice
iPhone XS	64GB	Gold	Monahans	5	Tester	2019-03-21	I would really like to review this product! If I could have one free I would be able to test it out!
iPhone XS	64GB	Gold	lisa	5	nothing	2019-04-10	like
iPhone XS	64GB	Gold	Carlos	1	No está desbloqueado	2019-04-07	"Ese equipo celular no está desbloqueado y en la publicación dice completamente desbloqueado, es una estafa, necesito me resuelvan este problema."
iPhone XS	64GB	Space Gray	Franco	1	el iphone esta bloqueado	2019-03-23	"compre un iphone xs don decia ""completamente desbloqueado"" y cuando lo recibi esta blouqeado. Nercesito una respuesta URGENTE!!!!"
iPhone XS	64GB	Silver	Matthew	2	I love Apple but hate this iPhone model	2018-11-04	"I recently upgraded from an iPhone 6, which I had no issues with at all, other than it being antiquated. In fact, I loved the phone and all of the features. I'll make this review easy by simply listing the pros and cons.Pros:-Waterproof (allegedly)-Larger screen and better graphics-Better camera quality than ever beforeCons:-Insanely expensive-Facial recognition is not that great. It works about 70% of the time and doesn't work randomly, for unknown reasons-The processor is supposed to be faster but it is constantly lagging when using apps and I'm nowhere close to capacity-With the home button gone, you have to swipe up from the bottom to close apps. This is problematic when using certain apps because I often inadvertently swipe up (when playing a game, for instance) and close the app-The battery life is supposed to be better than previous models, however I don't notice a difference. The phone also takes a bit longer to fully charge"
iPhone XS	64GB	Silver	Al Zubair El Gallal	5	Great	2018-11-19	excellent product and great and fast services and fast response
iPhone XS	64GB	Gold	Manuela	1	Manuela chicharro	2019-03-13	El producto viene bloqueado!! Exijo me devuelvan mi dinero
iPhone XS	64GB	Silver	Abe Addler	1	No Manual Functions on Video Camera	2018-10-29	"I got the iPhone XS and returned it 3 hrs. later. I'm a filmmaker by trade and thought this could be a breakthrough in filmmaking especially with a high-end 4k camera on board. I got the phone home anxiously opened it up and went to the camera functions right away since that's all I care about, a phone is just a phone otherwise. Well, I shot some 4k footage, looked nice but now I need to see how creative I can get. I looked for the manual shutter speed control, there isn't one. I looked for the manual white balance, there isn't one. I looked. I looked for the manual ISO setting, not there. I looked for the manual aperture setting, doesn't have it. So basically its camera is not intended for any kind of production, it's really a point and shoot. The HDR feature is nice but again, no manual settings. Not production friendly at all. 3 hours later I repacked it and returned it and got the LGV40. Now I'll do a review on that as well but the IPhone XS doesn't even come close to the LGV40 in any shape or form."
