iPhone 6S	32GB	Argent 	Stefan E.	5	The perfect smartphone!	2017-09-30	de	What should one say in addition? Better than this smartphone you can not do it. And the included EarPod headphones are really worth the 179 euros !!!!! Insanity.	0
iPhone 7 Plus	32GB	Argent 	Sandra Bechtel-Mai	5	1A! Great price	2019-03-24	de	I chose the 7 Plus because the backside is not made of glass and of course the price was also a reason why I decided for an older model. It is now my fourth IPHONE and I get along so well	0
iPhone X	64GB	Space Gray	Oscar migula	1	Too expensive	2019-01-18	de	The Iphone is offered here too expensive	0
iPhone 7	32GB	Black	Ediae	1	phone not good	2018-07-12	fr	the phone you sold me is not good, it is always hot when you use it, so you have to rectify it or I stop my bank from paying	0
iPhone 8	64GB	Gray	Marialaura	4	I phone	2019-06-15	it	I already knew the product	0
iPhone 6s	32GB	Silver	Jude	3	Ok	2019-03-23	us	You have to use it for a year.. before you unlock it	0
iPhone X	256GB	Argent 	Keine gekaufte Meinung.	2	Very disappointing	2018-07-08	de	After 3 months more than dissatisfied. I've been at Apple since iPhone 2. However, I am absolutely not convinced by the latest model. Various battery problems, software errors and inadequate Service.Zum then a defective display without external influence. Basically I had big expectations regarding the price. However, I was immensely disappointed here.	0
iPhone XR	128GB	Black	Romain	4	I recommend	2018-12-22	fr	TopSuper iPhone A little too heavy	0
iPhone 7	32GB	Black	Saida Bernhard	4	return	2018-09-30	de	The goods are returned immediately. That was wrong order. Sorry.	0
iPhone 7	32GB	Black	Client d'Amazon	3	Conform to the description	2017-12-22	fr	Article according to the description, I went through the seller A-Montain, I received an iPhone blister in a few days in its original box with its original equipment. Always simple to switch from an iPhone to a other iPhone, I was able to transfer all my data from my iPhone 6 to this one via iTunes in 2 clicks. I put a note of 3 for the shot of mouth, because it has just been made public that Apple was deliberately slowing its old phones being said to spare the life of the battery .. Including the iPhone 7 ... seriously it came out just a year ago ...	0
iPhone 6S	16GB	Rose Gold	Vitalij	1	Not properly usable device (major defects)	2018-11-04	de	The product was delivered without a charger. In addition, the charging of the cell phone does not work properly, also spins the battery and goes quickly empty. The Habdy is often easy and sometimes it has days where charging does not work at all. I contacted the seller two weeks ago and have not received any feedback until today. Very disappointed! Keep away from it.	0
iPhone 6S Plus	128GB	Space Gray	Attila	1	Another big lie from Amazon	2016-11-03	fr	This Iphone is sold at the same price (879 €) on the Apple website and not 1079 € (indicated by Amazon as recommended retail price by the manufacturer). Process denoting incompetence or dishonesty.	0
iPhone 6S	32GB	Rose Gold	besset	2	HIDDEN DEFECTS	2019-05-19	fr	It is a very good device, full of vices hidden since its purchase, all the time hacked because we give the personal info supposedly obliged to be assisted. During the request for identification to the server, he does not recognize any more the serial number because there is an error every time, after screen sharing with most remote assistants at apple, full of problems, be sure that they pause when you put your password ... because he always finds ways to distract you to integrate on your device, if you bought your device on the internet, the risk is 80%, because they took your serial number, all applications are problematic, you will certainly have the same people without you noticing to help you when you are down. It's a scourge, I have two iMacs and iPhone, everything is contaminated with a single cloud cloud ID , so-called uper well protected, but not all purchases made on a private site are all gone. The network of all these problems is in the Isle of France.	0
iPhone 7	32GB	Black	K.	1	Sound / Hör / mouthpiece defective - phone calls are difficult	2018-12-16	de	The phone was broken from the beginning. Neither do I understand, nor can I really understand people on the phone. Even playing voice messages is almost impossible without headphones	0
iPhone 7	32GB	Matte Black	Alana	1	Absolute joke! Completely out of pocket	2018-10-02	uk	I have had the phone for 4 weeks and already the speaker has broke. I have had to send the phone Back to you for repair. I have lost loads of work due to this and have also had to pay out £60 to repair an old phone so I am not without a phone. An absolute joke!	0
iPhone 6S	16GB	Space Gray	Amazon Kunde	2	Do not buy a mobile phone	2018-09-12	de	The cell phone was useless, all cards were locked	0
iPhone 7	128GB	Rose Gold	Fireball3	1	After a year sudden device dead	2018-09-14	de	About a year ago I bought my wife an iphone 7 with 128GB. The said mobile phone looks through the careful use until today as new. Nonetheless, the phone suddenly became boiling hot (source of danger) and has stopped working since then. The warranty expired a few weeks ago - and goodwill is a foreign word at Apple. For a mobile phone that only lasts for one year and is almost injured, the price is in no way justified. We will turn our backs on Apple after this experience and get a device with better value for money - prestige is not everything in life! However, until the said day, the mobile phone has worked well, albeit no better than comparable competing products.	0
iPhone X	64GB	Argent 	Sascha Drochen	5	Very good, original devices	2018-09-17	de	Everything went very fast. Very good device. However, Apple has now removed the iPhone X from its store because the XR, XS and XS Max are coming. The prices for an X should therefore loose below 700, - fall from the 21.09 when the new models come, everything else does not pay off, since a XR 849, - costs and is equipped with the latest features. Everything else the display, this is LCD, what you do not mind. So dear providers, goes with the times, down with the price	0
iPhone XS	64GB	Space Gray	borja	1	Viene Bloqueado y con una compañia de prepago de eeuu.	2019-03-25	us	Trae que esta totalmente desbloqueado pero no es asi.	0
iPhone 7 Plus	128GB	Matt Black	Marco Gaglianello	2	poor	2017-03-16	it	Now iPhone loses and this 7 plus is the confirmation. At 200-300 € there are android terminals that allow the user to do many more things, they are more versatile and above all they have an o.s. which has much less bugs than iOS (which carries the same problems from the 7.0 to the present day, absurd). If you have money to waste and you are iPhone fanatics then there is, but otherwise look elsewhere, your wallet will be happy .	0
iPhone XR	64GB	Black	Christian Le Roy	2	Product far behind the market in terms of quality	2019-03-21	fr	I should have bought it from Amazon and not from Orange ... this smartphone is overpriced for outdated technical specifications, so buy the 8 cheapest XR in comparison has no interest. the image quality is well behind that of the Xs and especially samsung and Huawei, Face ID is a calamity, 3 times out of 10 you have to do its code while it was so simple with the thumbprint and the central button . finished double click on the central button to see his apps open it is a complicated gesture that must be done 2 to 3 times and gives seasickness ... it is painful. When weight is the volume, it's a truck! very heavy and difficult to handle, only positive thing the battery holds the day (would miss more than that you say!). the "truck" escaped me from broken screen hands, the cost of repair announced by Apple store operated 329 € because of the famous Face ID. In short Apple is not what it was, I do not really like Google and its intrusive side but frankly it does not make sense to buy an XR. Rest a good OS and service, the best is to buy on amazon a 7 or 8 until applle recovers, unless ...	0
iPhone X	64GB	Space Gray	Karina Elisabeth	1	Never again!!!!	2019-03-12	de	Other no name got mobile? !!!! We went back soon ...	0
iPhone 7	32GB	Matt Black	Sonia L.	1	Very bad article	2017-11-06	it	This phone only works well the first month then it starts to freeze and after a year you have to change it I don't recommend it	0
iPhone X	64GB	Space Gray	Marco Latzek	1	rubbish	2018-10-31	de	Have the device purchased via MediaMarkt and with me the display is spinning constantly he turns off no matter what application	0
iPhone 6S	16GB	Space Gray	FcBayernGrafBecker	1	Ugly, cheap and itunes heavy!	2015-10-17	de	Unfortunately, I have to join the 1 star reviewer! We (27 people, young team) were allowed to try the Samsung s6 edge and the Apple 6s in the company for 2 weeks! We opted 27: 0 for the Samsung s6 + edge. Against the Apple spoke the much too short battery life and this absolutely annoying dependence on ITunes! The Bendgate was still one or the other in the ear! The Samsung has a much sharper / brighter display and also has a very different caliber of camera on board. The Samsung can load in comparison to Apple totally wireless! Overall, the s6 + edge plays in a completely different league! The Samsung is a bit more expensive than the Apple but the extra expenses have been worth it in any case! The two-sided Gorilla glass Samsung is much more stable and is haptically quite different in the Hand! Samsung is clearly in the right direction compared to Apple! The Samsung has felt twice as long battery life as the Apple although the battery capacity is not so much bigger! This can only be due to the better energy management. Oh well, what we noticed here in the forum even negative, is that here Android lovers are presented as asocial resin 4 recipients who can not afford iPhone supposedly! At least we would have got the iPhone cheaper through our source of supply! ITunes I found personally to iPod times a much too overloaded old joke and now works at Apple, the hardware is cheap! Let's see what make of the still beautiful Macbook Pro, IOS they have already screwed!	0
iPhone 8 Plus	64GB	Argent 	Loo Stol	5	Very happy with my purchase	2018-06-09	fr	It's 3 months that I have it and I'm not disappointed it's an iPhone anyway, it does not beugue it is not so fragile that I like it a lot, and contrary to what other comment or question I received it at startup I put French and that's it	0
iPhone 7 Plus	128GB	Argent 	Amazon Kunde	4	if it is waterproof I do not want to approach	2019-01-26	de	Price performance ok	0
iPhone XR	64GB	Blue	Joshua	4	Get xr	2019-03-11	uk	Coming from an android it’s hard to get use too, good phone over all but get the Xs not the xr. Battery last ages all day I used it as a gps for work but Face ID is a bit slow at times	0
iPhone XR	128GB	Blue	Julien Foulloy	5	I wanted it!	2019-07-13	fr	And I'm not disappointed . Super phone and the battery is really worth it	0
iPhone 6S	16GB	Space Gray	Amazon Kunde	1	Device delivered defective.	2018-12-21	de	Unfortunately, you can not call the device simply (extremely poor connection quality). The battery life is also miserable. Did I really get a new device as ordered?	0
iPhone 7 Plus	32GB	Black	Amazon Customer	1	One Star	2017-06-16	uk	:(	0
iPhone 8	64GB	Gold	Amazon Customer	1	SCREEN DAMGED AND CAMERA	2018-07-08	uk	I got and it was rubbish the screen was broke and so was the camera.And the bad thing is that now I can return it what a waste of my moneyI’m applaud I want a new one now!	0
