iPhone XS Max	64GB	Space Gray	gollnik christophe	5	iPhone XS MAX	2019-01-01	fr	Perfect, received quickly and beautiful discount thanks to Black Friday but I think it's model reconditioned	1
iPhone 8	64GB	Space Gray	Pierre	5	Top is fast	2018-02-15	fr	Received quickly it is a model for the Eastern countries but no problem it is the European model for 120 euros less I highly recommend.	1
iPhone 7	32GB	Black	Benoit Valet	5	produced as in the description	2018-05-08	fr	good quality, delivery in time, clean product and a gift accessory, very satisfactory and the price is correct.	1
iPhone 6S	16GB	Gold	Zeliha	5	Zeliha	2016-06-30	de	The product arrived much faster than expected. It was in an original i phone packaging unopened and with all the accessories. Therefore, I have nothing to complain about and can recommend it	1
iPhone 6S	64GB	Rose Gold	Andrea	2	A. Behr	2016-04-26	de	Not mine. I miss the variety as usual from Android. Haptic is great, display could be a bit bigger. I stay with Android	1
iPhone XS	256GB	Space Gray	Jojo	5	iPhone Xs	2019-03-14	de	Again and again.	1
iPhone XS Max	256GB	Argent 	Macinson	4	Great mobile for a sporty price	2018-11-13	de	First of all, I did not purchase the device from Amazon, but directly from the Apple Store. Now that I have skipped some devices since the iPhone 6, it was time to buy a new iPhone. My wife was still a user of an iPhone 7 Plus, but since I should now get a new device, we decided to exchange both phones. Basically, it was probably not the best moment, since the iPhones are priced since the X in new dimensions - but suspect I mean, that they will not be able to get there that fast any more. Nevertheless, go to the Apple Store to get a grip on the latest generation XS, XS Max and XR. Well, for someone who comes from the iPhone 6 or 7, this is of course a visual and tactile quantum leap. The display of all devices is really awesome, with the XR is minimal behind the top devices, since only these have an OLED display (when you look closely and depending on the content played you notice that). My wife despite IPad almost everything with your phone makes it clear that it must be the big version again, so it was an XS MAX in silver. The size and the existing "full screen" I think is really great (since the Xs Max is really an announcement) and makes my wife of course much more fun compared to the 7 Series. The "Notch" (the black bar on the top of the iPhone) really does not bother you at all (there are some critics here). After the device has been in use for a few days, you have to realize that you do not miss the missing homebutton for one second, because you got used to the new handling intuitively very quickly. Even Face-ID works absolutely easily and makes it easier to log in to various apps. The camera is also top and again a good step better than the iPhone X. Overall, the performance is excellent and all functions / apps run smoothly. The battery life itself can not say much because I was charged the phone every night. I will observe this in more detail and possibly write an update. Compared to my old iPhone, it is a little bigger and when you pick it up you immediately notice a slight weight difference (a bit heavier). Conclusion: Overall, Apple has once again launched a top-of-the-line phone, but what you get in the price category may also expect. The quality is outstanding and I hope it lasts the next few years, as we are planning to drop some models again. In spite of all the praise, I pull off a star, because I find that prices have really been exceeded in the meantime. I may not complain, as I too have paid this price, but I think that even in the range of 1000 € (or slightly lower) it should be able to market its top device I hope my personal and subjective assessment was helpful to be able to better assess the product.	1
iPhone 8	64GB	Space Gray	Tekaya Marouene	5	Good deal	2018-03-24	fr	Buy an iPhone 150 € cheaper than other shops is a very good deal. Iphone destined for a country of Eastern Europe, but always remains an iphone.	1
iPhone X	64GB	Argent	Client d'Amazon	5	Very good value for money	2018-12-28	fr	Very good product, nothing surprising from Apple, very good quality, delivered in its original packaging Apple, Original certified, delivered with Invoice. Nothing to report, very good Iphone that I recommend, especially if you hesitate with an Iphone 8 / or XS	1
iPhone XS	512GB	Space Gray	HeiGo	4	Great product	2019-03-10	de	Shipment and product very good	1
iPhone X	64GB	Gray	Cliente Amazon	5	Great	2019-01-27	it	Great	1
iPhone X	64GB	Space Gray	Aurélien	5	That Amazon did not scam the authenticity of the product.	2018-12-23	fr	I already knew this product because I had to lend one before I bought this one, it serves me everyday as a private phone, the phone is fine and works perfectly. The only thing I feared was that it was but I checked on the Apple site and it's a real one. I am delighted with the product.	1
iPhone X	64GB	Argent	Maureen Janicki	5	Excellent	2018-10-26	fr	Original product really top I did not expect to adapt so quickly to face recognition, I recommend	1
iPhone 8 Plus	64GB	Argent 	Nicolai Zylka	5	Top	2019-07-11	de	Everything is very well packed fast delivery	1
iPhone 8	64GB	Space Grey	Peter Mkali	4	Happy with my iPhone 8	2018-08-04	uk	This far, I like everything about the product	1
iPhone 7	32GB	Argent	Un Niçois	5	Corresponds to the description	2018-10-20	fr	Purchased this summer (about 3 months), RAS all ok except that we can not cut / lower the sound when we take a picture ... direct model of China ... This function is blocked for the sale coming from this country.Very painful anyway ...	1
iPhone 7	32GB	Black	Dieme	5	Validate	2018-09-05	fr	First time I get used to buying a cell phone on a site and I am very satisfied. Delivery in time, new product in packaging, works very well (for now) we'll see later but I'm very happy. I recommend	1
iPhone XS	64GB	Gold	weallwannaholdtheremotecontrol	5	Good	2018-12-17	uk	Good	1
iPhone X	64GB	Argent	Daures Pierre	5	super	2018-12-08	fr	very nice phone.	1
iPhone X	64GB	Argent	Lili13270	5	The top of the top	2019-04-11	fr	A beautiful iPhone X, new and not reconditioned as some comments say. Extremely happy with my purchase that I wish for a long time and now accessible by its price and ease of payment. Only one thing to say: thank you Amazon!	1
iPhone 8	256GB	Space Grey	Bluesuede	5	It's an i-phone	2019-03-08	uk	Lovely phone good price from Amazon, who are now an official Apple retailer, otherwise I would not have bought it from them. It does what you expect it to do.	1
iPhone 8	64GB	Gold	Robert Zänger	5	Am satisfied	2018-08-10	de	Do what it should. Had first concerns about the low price. But I am satisfied device works	1
iPhone 8	64GB	Gray	sandro rossi	4	phone	2019-04-04	it	great product in the price range	1
iPhone XR	64GB	Yellow	Martin S	5	Super	2019-05-26	de	I am super satisfied with this device. A nice big screen, great pictures even at dusk, an unlock that works immediately and reliably (up and unlocked) and really great selfies.	1
iPhone 7	32GB	Matte Black	Gary	5	Nice Deal	2018-12-01	uk	Phone was as new and still had 6 month warrantee on it	1
iPhone 8	64GB	Gray	Cristina	5	If you want a quality phone, you need to choose iPhone!	2018-11-12	it	If you want a really quality phone, you need to choose iPhone!	1
iPhone 7 Plus	32GB	Black	echaib	5	Quick reception	2018-06-03	fr	Good received in very good condition except I received a charger not original Apple is breaking it does not even work, no earphone but it's normal and I received it before the deadline so perfect	1
